# null, year, acm, acn, star, stard, pl, px, rb, part, debasat, debcoll, deb, null, null
# Bin     YDate                 ACM          ACN          Star         StarD        PL           PX           RB           Part         DebASAT      DebColl      Deb          Err          Total
0    1956.99795     0    0    0    0    0    0    0    0    0    0    0    0    0
1    1957.00068     0    0    0    0    0    0    0    0    0    0    0    0    0
2    1957.00342     0    0    0    0    0    0    0    0    0    0    0    0    0
3    1957.00616     0    0    0    0    0    0    0    0    0    0    0    0    0
4    1957.0089 0    0    0    0    0    0    0    0    0    0    0    0    0
5    1957.01164     0    0    0    0    0    0    0    0    0    0    0    0    0
6    1957.01437     0    0    0    0    0    0    0    0    0    0    0    0    0
7    1957.01711     0    0    0    0    0    0    0    0    0    0    0    0    0
8    1957.01985     0    0    0    0    0    0    0    0    0    0    0    0    0
9    1957.02259     0    0    0    0    0    0    0    0    0    0    0    0    0
10   1957.02533     0    0    0    0    0    0    0    0    0    0    0    0    0
11   1957.02806     0    0    0    0    0    0    0    0    0    0    0    0    0
12   1957.0308 0    0    0    0    0    0    0    0    0    0    0    0    0
13   1957.03354     0    0    0    0    0    0    0    0    0    0    0    0    0
14   1957.03628     0    0    0    0    0    0    0    0    0    0    0    0    0
15   1957.03901     0    0    0    0    0    0    0    0    0    0    0    0    0
16   1957.04175     0    0    0    0    0    0    0    0    0    0    0    0    0
17   1957.04449     0    0    0    0    0    0    0    0    0    0    0    0    0
18   1957.04723     0    0    0    0    0    0    0    0    0    0    0    0    0
19   1957.04997     0    0    0    0    0    0    0    0    0    0    0    0    0
20   1957.0527 0    0    0    0    0    0    0    0    0    0    0    0    0
21   1957.05544     0    0    0    0    0    0    0    0    0    0    0    0    0
22   1957.05818     0    0    0    0    0    0    0    0    0    0    0    0    0
23   1957.06092     0    0    0    0    0    0    0    0    0    0    0    0    0
24   1957.06366     0    0    0    0    0    0    0    0    0    0    0    0    0
25   1957.06639     0    0    0    0    0    0    0    0    0    0    0    0    0
26   1957.06913     0    0    0    0    0    0    0    0    0    0    0    0    0
27   1957.07187     0    0    0    0    0    0    0    0    0    0    0    0    0
28   1957.07461     0    0    0    0    0    0    0    0    0    0    0    0    0
29   1957.07734     0    0    0    0    0    0    0    0    0    0    0    0    0
30   1957.08008     0    0    0    0    0    0    0    0    0    0    0    0    0
31   1957.08282     0    0    0    0    0    0    0    0    0    0    0    0    0
32   1957.08556     0    0    0    0    0    0    0    0    0    0    0    0    0
33   1957.0883 0    0    0    0    0    0    0    0    0    0    0    0    0
34   1957.09103     0    0    0    0    0    0    0    0    0    0    0    0    0
35   1957.09377     0    0    0    0    0    0    0    0    0    0    0    0    0
36   1957.09651     0    0    0    0    0    0    0    0    0    0    0    0    0
37   1957.09925     0    0    0    0    0    0    0    0    0    0    0    0    0
38   1957.10198     0    0    0    0    0    0    0    0    0    0    0    0    0
39   1957.10472     0    0    0    0    0    0    0    0    0    0    0    0    0
40   1957.10746     0    0    0    0    0    0    0    0    0    0    0    0    0
41   1957.1102 0    0    0    0    0    0    0    0    0    0    0    0    0
42   1957.11294     0    0    0    0    0    0    0    0    0    0    0    0    0
43   1957.11567     0    0    0    0    0    0    0    0    0    0    0    0    0
44   1957.11841     0    0    0    0    0    0    0    0    0    0    0    0    0
45   1957.12115     0    0    0    0    0    0    0    0    0    0    0    0    0
46   1957.12389     0    0    0    0    0    0    0    0    0    0    0    0    0
47   1957.12663     0    0    0    0    0    0    0    0    0    0    0    0    0
48   1957.12936     0    0    0    0    0    0    0    0    0    0    0    0    0
49   1957.1321 0    0    0    0    0    0    0    0    0    0    0    0    0
50   1957.13484     0    0    0    0    0    0    0    0    0    0    0    0    0
51   1957.13758     0    0    0    0    0    0    0    0    0    0    0    0    0
52   1957.14031     0    0    0    0    0    0    0    0    0    0    0    0    0
53   1957.14305     0    0    0    0    0    0    0    0    0    0    0    0    0
54   1957.14579     0    0    0    0    0    0    0    0    0    0    0    0    0
55   1957.14853     0    0    0    0    0    0    0    0    0    0    0    0    0
